CCG Code,DSR,CI Lower,CI Upper,Population,Years of life lost
00C,1953.34,1839.43,2072.45,53716,1099.5
00D,2806.31,2723.11,2891.39,145167,4365.4
00F,2398.39,2306.44,2493.06,103332,2580.4
00G,1658.04,1557.37,1763.48,74566,1023
00H,1964.04,1854.79,2078.03,64614,1213.9
00J,1938.6,1863.81,2015.61,125279,2543.5
00K,2443.85,2365.35,2524.29,146464,3680.8
00L,2089.5,2022.59,2158.03,163752,3842.5
00M,2267.58,2191.52,2345.6,145219,3373.9
00N,2353.66,2248.85,2462.08,77507,1913.1
00P,2189.3,2114.22,2266.36,142325,3227.9
00Q,2323.98,2215.88,2435.98,82800,1741.4
00R,2921,2809.97,3035.27,85051,2636.3
00T,2100.35,2026.03,2176.69,144331,3017.8
00V,1877.02,1792.82,1964.15,98561,1871.3
00W,2824.97,2693.21,2961.28,98947,1901
00X,1765.02,1681.27,1851.85,87295,1675.9
00Y,1890.69,1811.83,1972.1,120424,2166.6
01A,2388.96,2319.4,2460.08,185017,4479.8
01C,1614.15,1539.88,1691.04,102580,1829.7
01D,2438.29,2345.84,2533.45,111637,2629.5
01E,2110.01,2020.97,2201.96,104319,2120.5
01F,2449.01,2330.16,2572.35,64316,1598.4
01G,2520.55,2428.56,2615.12,123289,2860.5
01H,2100.83,2048.51,2154.14,263398,6269.4
01J,2497.95,2388.56,2611.04,81372,1977.7
01K,2548.77,2439.69,2661.45,80084,2082.6
01M,3370.27,3239.29,3505.13,91640,2570
01N,2937.29,2808.38,3070.51,82704,2024.8
01R,1905.53,1818.98,1995.13,87934,1826
01T,1827.78,1735.66,1923.5,78050,1488.7
01V,1776.01,1679.32,1876.72,63804,1316.1
01W,1936.36,1868.4,2006.16,151371,3075.2
01X,2277.71,2186.41,2371.83,97436,2369
01Y,2450.49,2363.59,2539.77,120924,3008
02A,1866.36,1789,1946.2,118339,2198.2
02D,2453.21,2323.04,2588.76,51482,1337.2
02E,1798.06,1719.22,1879.57,104617,1962.8
02F,1700.45,1632,1771.02,128820,2343.4
02G,2628.16,2500.91,2760.17,56350,1624.1
02H,2261.73,2191.02,2334.14,159912,3888.8
02M,2254.19,2154.67,2357.05,77224,2015.8
02N,2170.01,2070.99,2272.51,79116,1830.1
02P,2432.42,2348.65,2518.41,125362,3201.4
02Q,1432.7,1340.7,1529.31,56245,914.4
02R,2480.6,2403.36,2559.68,167175,3928.8
02T,2053.21,1968.57,2140.55,107605,2221.8
02V,1884.37,1798.47,1973.3,101899,1817.6
02W,3811.89,3592.65,4039.99,55012,1397.5
02X,2142.85,2071.67,2215.85,155929,3441.8
02Y,1781.36,1718.74,1845.64,152914,3185.9
03A,1908.81,1830.64,1989.45,119460,2247
03C,1721.57,1655.64,1789.44,179345,2601.2
03D,1689.3,1604.47,1777.4,72339,1526.8
03E,1971.09,1877.37,2068.23,81289,1707.4
03F,2916.41,2826.48,3008.46,143325,4002.3
03G,2450.82,2363.83,2540.19,129234,3005.6
03H,2759.67,2648.87,2873.91,83727,2346
03J,1945.58,1854.2,2040.29,92854,1706
03K,2617.3,2512.88,2724.92,84859,2400.5
03L,2267.89,2187.55,2350.42,128628,3025.3
03M,2064.16,1954.02,2178.79,59524,1369.9
03N,2051.39,1997.41,2106.45,283040,5508.4
03Q,1902.64,1837.87,1969.1,173308,3308.2
03R,2231.79,2163.87,2301.3,178032,4108.3
03T,2022.39,1947.21,2099.67,122544,2894.3
03V,1632.33,1498.05,1775.37,34923,548.6
03W,1488.61,1432.5,1546.35,160119,2671.6
03X,2487.01,2351.23,2628.57,48624,1262.9
03Y,2089.22,1969.48,2214.3,51408,1150.5
04C,2308.86,2230.34,2389.4,182383,3374.5
04D,1763.41,1688.81,1840.45,114853,2116.1
04E,2064.01,1974.17,2156.87,92918,1995.5
04F,1933.25,1855.7,2013.17,133566,2416.4
04G,2148.22,2097.49,2199.86,317044,6835.2
04H,1806.53,1707.92,1909.3,64771,1282.7
04J,2119.87,2049.2,2192.34,145657,3462.1
04K,2229.62,2148.55,2312.92,167298,2964
04L,1878.06,1782.33,1977.57,73508,1462.6
04M,1448.09,1347.02,1554.72,47521,765
04N,1514.53,1422.37,1611.08,61719,1013.2
04Q,1869.77,1771.7,1971.8,65725,1398.5
04R,1797.47,1746.83,1849.2,263882,4784.6
04V,1894.99,1833.63,1957.88,182428,3620.3
13P,2097.19,2040.58,2154.97,295929,5285.5
04X,2229.28,2134.83,2326.78,120195,2157.5
04Y,1743.47,1646.39,1844.76,66430,1217.8
05A,1815.6,1758.21,1874.38,229764,3823.7
05C,1983.51,1915.92,2052.86,157554,3290
05D,1787.66,1690.16,1889.31,67657,1263
05F,1925.04,1839.76,2013.2,92192,1981.7
05G,1924.59,1843.96,2007.8,104361,2191.5
05H,2189.8,2098.81,2283.71,92326,2193.1
05J,2007.85,1916.92,2101.96,86031,1844.5
05L,2159.36,2097.72,2222.34,262046,4725.6
05N,1957.03,1891.32,2024.41,151266,3461.6
05P,1895.84,1820.98,1972.99,120534,2427.2
05Q,1690.09,1615.75,1766.95,106715,1964
05R,1879.2,1808.15,1952.3,136239,2700.2
05T,1676.69,1612.28,1742.98,148163,2624.8
05V,1899.99,1806.06,1997.5,71954,1562.7
05W,2575.77,2491.1,2662.58,138084,3507.8
05X,2542.61,2437.69,2650.88,86382,2215
05Y,2223.06,2143.62,2304.69,135927,2967.1
06A,2200.18,2118.3,2284.4,130677,2733.4
06D,2194.74,2079.95,2314.13,56366,1420.8
06F,1667.45,1614.24,1721.96,220586,3725.9
06H,1582.92,1545.19,1621.34,432453,6697.8
06K,1744.1,1695.48,1793.76,287040,4897.3
06L,1877.5,1817.71,1938.74,195862,3800.5
06M,1904.16,1829.08,1981.48,116611,2517.2
06N,1637.58,1591.73,1684.41,304968,4870.3
06P,2212.8,2111.88,2317.25,104536,1850.1
06Q,1688.6,1632.27,1746.37,191213,3414
06T,1942.94,1878.28,2009.25,167568,3468.9
06V,2057.47,1963.63,2154.45,85738,2020.5
06W,1771.09,1687.65,1857.58,104812,1696.3
06Y,1427.48,1361.03,1496.31,114057,1778.2
07G,1797.05,1704.59,1893.2,82502,1431.3
07H,1859.23,1790.63,1929.78,148497,2780.3
07J,1627.06,1548.25,1708.78,84505,1664.4
07K,1308.14,1245.82,1372.74,120033,1697.1
07L,2325.77,2215.88,2439.51,101485,1849.3
07M,1735.62,1673.99,1798.92,199260,3051
07N,1284.24,1219.54,1351.47,117523,1480.4
07P,1966.71,1893.48,2041.97,169148,2899.5
07Q,1444.49,1388.32,1502.35,169582,2498.6
07R,1754.1,1666.46,1845.03,131019,1617
07T,1928.67,1837.65,2022.76,143562,1982
07V,2039.63,1972.67,2108.26,191929,3586.2
07W,1613.19,1550,1678.25,197391,2558.9
07X,1502.75,1436.14,1571.63,150658,1940.6
07Y,1884.5,1805.29,1966.23,140541,2224.3
08A,2029.44,1944.63,2116.92,138708,2294.2
08C,1748.82,1651.89,1849.85,106493,1277.8
08D,1839.89,1760.05,1922.33,142603,2136.1
08E,1280.64,1215.73,1348.1,122686,1471.5
08F,1652.14,1583.84,1722.62,132239,2207.8
08G,1774.31,1700.76,1850.21,141327,2229.7
08H,1749.79,1658.14,1845.02,116073,1490.1
08J,1622.6,1538.08,1710.51,96509,1415
08K,1711.67,1637.23,1788.48,188512,2227.7
08L,2044.48,1963.2,2128.15,156772,2590.9
08M,2238.33,2149.77,2329.41,172709,2780.7
08N,1878.67,1802.38,1957.31,144998,2376.2
08P,1409.94,1333.15,1489.97,101497,1281.9
08Q,2172.03,2083.04,2263.68,158431,2519.7
08R,1489.1,1410.29,1571.09,107110,1399.8
08T,1546.11,1464.98,1630.54,94342,1376.5
08V,2056.36,1947.3,2169.66,134167,1504.6
08W,2114.25,2028.08,2203.05,144779,2413.9
08X,1825.85,1749.29,1904.82,186018,2283.8
08Y,1527.37,1448.7,1609.12,112164,1482.4
09A,1337.18,1252.78,1425.6,93453,1013.3
09C,1552.55,1457.77,1651.86,62919,1004.7
09D,1495.83,1427.72,1566.31,148303,1863.7
09E,1552.07,1477.78,1629.09,108313,1680.9
09F,1799.99,1718.54,1884.25,96566,1903.4
09G,1542.05,1495.95,1589.19,251101,4385
09H,2283.1,2157.67,2413.85,62848,1270.7
09J,1748.21,1675.74,1823,126743,2195.5
09L,1777.98,1689.34,1870.05,86677,1519.4
09N,1390.47,1321.2,1462.43,107797,1512.7
09P,1909.5,1826.38,1995.38,93803,2048.4
09W,2124.73,2049.53,2201.98,144514,3022.7
09X,1524.69,1455.69,1596.1,114494,1855.5
09Y,1681.53,1620.85,1743.9,176523,2910.9
10A,1955.49,1873.44,2040.17,101750,2184.5
10C,973.82,887.2,1066.6,45832,464.8
10D,1979.89,1864.65,2100.38,54434,1105.8
10E,2132.64,2030.29,2238.77,71079,1658.6
10G,1542.38,1448.04,1641.22,68270,1010.1
10H,1702.27,1640.38,1765.89,164775,2867.5
10J,1865.81,1786.47,1947.76,108212,2088.1
10K,2153.75,2065.97,2244.28,101785,2308.5
10L,1694.17,1604.52,1787.41,72360,1418.8
10M,2163.55,2044.59,2287.6,57268,1250.5
10N,1454.53,1354.33,1560.17,53758,784.1
10Q,1693.83,1650.04,1738.48,343620,5691.8
10R,2145.06,2052.93,2240.23,106788,2084.7
10T,1980.06,1857.08,2108.74,70657,1068.6
10V,1809.71,1730.92,1891.12,106258,2036.1
10W,1923.51,1792.91,2060.86,62393,863.6
10X,1676.84,1600.71,1755.64,128505,1846.2
10Y,1702.99,1624.37,1784.43,100108,1773.1
11A,1515.7,1471.45,1560.93,274698,4536.5
11C,1759.67,1664.53,1858.83,75701,1282.3
11D,1712.09,1623.11,1804.66,77751,1396
11E,1773.52,1690.89,1859.13,98558,1742.9
