CCG Code,DSR,CI Lower,CI Upper,Population,Years of life lost
00C,2823.18,2681.73,2970.12,52506,1511.1
00D,2897.76,2813.4,2984,143032,4522.2
00F,2780.93,2682.19,2882.37,103100,3006.3
00G,2539.77,2413.28,2671.12,75257,1537.4
00H,3047.11,2910.7,3188.25,65992,1886.5
00J,2465.73,2380.27,2553.46,122239,3170.3
00K,2508.1,2427.72,2590.46,143439,3695.6
00L,2405.86,2334.11,2479.22,157926,4399.9
00M,3067.51,2978.83,3158.15,145159,4543.6
00N,2956,2838.37,3077.23,77175,2396.7
00P,3118.1,3028.55,3209.61,142381,4627.5
00Q,3367.07,3239.14,3498.74,85668,2628.6
00R,3736.06,3614.38,3860.78,87474,3587.7
00T,2500.17,2419.85,2582.48,147757,3669.6
00V,2529.27,2431.3,2630.17,97707,2519.6
00W,3183.53,3049.26,3321.98,112390,2337.9
00X,2792.74,2687.46,2901.07,86702,2673.4
00Y,3182.32,3080.56,3286.58,120775,3706
01A,3280.19,3199.41,3362.49,186487,6286.3
01C,1878.53,1800.01,1959.58,100138,2180.1
01D,3355.8,3248.23,3466.02,113158,3693.6
01E,2520.96,2424.52,2620.25,107558,2583.3
01F,2749.55,2624.53,2878.98,64120,1820.4
01G,2846.9,2750.39,2945.93,127236,3306.5
01H,2431.46,2374.81,2489.1,262054,7247.3
01J,3418.38,3289.02,3551.51,79732,2660.1
01K,2881.97,2764.82,3002.79,79999,2294.6
01M,3430.58,3302.74,3562.04,96986,2813.1
01N,3431.6,3291.47,3576.08,83593,2340.1
01R,2749.05,2642.96,2858.28,87003,2560.6
01T,2431.85,2325.79,2541.49,75599,1985.3
01V,2796.5,2667.61,2929.88,60292,1869.3
01W,2226.38,2151.97,2302.7,148140,3404.5
01X,2373.22,2280.58,2468.65,96055,2493
01Y,3453.61,3350.4,3559.19,120098,4257.4
02A,1946.58,1866.8,2028.89,116768,2254.4
02D,1830.06,1719.81,1945.52,50863,1029.8
02E,2825.39,2726.8,2926.63,104320,3114
02F,2187.78,2109.67,2268.03,125532,2994.8
02G,2736.26,2604.55,2872.86,55386,1646.7
02H,2453.45,2380.04,2528.54,160706,4264.5
02M,2643.68,2534.48,2756.32,73888,2278.7
02N,2039.08,1943.44,2138.19,76984,1725.2
02P,2704.08,2616.13,2794.23,124061,3586.5
02Q,2660.76,2530.67,2795.76,55834,1597.1
02R,3281.19,3191.32,3372.94,164189,5092
02T,2509.07,2415.94,2604.87,106403,2748.4
02V,2556.53,2455.77,2660.36,101049,2438
02W,3905.48,3687.73,4131.65,63952,1520
02X,2466.92,2390.96,2544.67,153690,4003.4
02Y,2440.24,2366.97,2515.17,148700,4350.3
03A,2913.95,2818.38,3011.93,119977,3521.3
03C,2393.46,2315.67,2473.19,177515,3622.1
03D,2221.64,2119.42,2327.41,69575,1879.9
03E,1909.42,1818.21,2003.99,78521,1670.7
03F,3306.92,3212.02,3403.91,146791,4627.2
03G,2915.11,2820.14,3012.46,132125,3585
03H,2523.84,2420.24,2630.73,84415,2243.5
03J,3143.21,3027.45,3262.26,93221,2789.8
03K,2656.29,2551.29,2764.47,84824,2455.3
03L,2909.91,2819.23,3002.76,127100,3911.6
03M,2475.2,2355.06,2599.76,58576,1676.1
03N,2511.18,2451.44,2572,287284,6740.2
03Q,2238.35,2168.62,2309.74,166887,3937.7
03R,2803.01,2726.85,2880.75,177341,5164.4
03T,2801.33,2711.6,2893.19,119384,3957
03V,3256.47,3067.11,3454.42,34890,1114.6
03W,1991.93,1924.83,2060.76,156425,3409.7
03X,2228.37,2100.97,2361.45,48868,1154.1
03Y,2429.96,2301.25,2563.93,51042,1366
04C,2723.93,2640.4,2809.39,192017,4191.3
04D,2619.75,2527.68,2714.31,111001,3087.2
04E,2855.61,2750.32,2963.9,91389,2785.8
04F,2255.25,2171.36,2341.52,134408,2804.9
04G,2319,2266.89,2372.01,318283,7562
04H,1977.86,1877.52,2082.15,63324,1463.1
04J,2390.43,2316.34,2466.27,143515,4015.4
04K,3403.56,3305.54,3503.7,178932,4774.3
04L,2195,2092.65,2301.05,71677,1736.6
04M,2647.01,2506.9,2792.9,46006,1341
04N,1369.53,1280.83,1462.72,60217,899.2
04Q,1944.97,1845.25,2048.63,63728,1453.1
04R,2518.18,2458.91,2578.52,266987,6867.1
04V,2132.81,2068.34,2198.78,187104,4161.7
13P,3011.38,2944.08,3079.82,303220,7747.5
04X,3130.6,3021.7,3242.38,125148,3227
04Y,1595.9,1505.16,1690.67,65773,1164.3
05A,2616.29,2548.76,2685.15,235761,5743.3
05C,2569.63,2493.41,2647.58,156932,4343.9
05D,2130.57,2025.63,2239.53,67059,1551
05F,2655.28,2556.65,2756.7,90230,2806.5
05G,2121.57,2038.86,2206.75,103475,2522.5
05H,2430.74,2335.3,2529.07,91787,2462
05J,2028.44,1936.93,2123.15,86089,1860.4
05L,3006.31,2935.4,3078.48,274946,7017.4
05N,2161.48,2091.66,2233.01,147408,3770.7
05P,2181.52,2099.2,2266.23,116322,2668.1
05Q,1817.35,1740.4,1896.81,104931,2130.3
05R,1873.71,1805.26,1944.08,136279,2848.4
05T,2152.74,2082.18,2225.07,145118,3555.2
05V,1527.82,1445.7,1613.38,72759,1302.7
05W,2741.16,2655.53,2828.84,141236,3885.2
05X,2774.44,2665.21,2886.99,86319,2433.6
05Y,3504.74,3405.41,3606.23,135841,4731.6
06A,2768.6,2676.95,2862.59,131521,3461.7
06D,1882.2,1782.46,1986.01,55943,1367.6
06F,2199.32,2138.22,2261.72,218968,4930.1
06H,2023.24,1980.56,2066.61,434523,8568.7
06K,1741.25,1692.19,1791.37,282740,4807.9
06L,1777.39,1720.63,1835.54,193118,3763.4
06M,2280.84,2197.96,2365.99,114839,2990.9
06N,1998.97,1947.77,2051.17,300165,5862.1
06P,2812.04,2703.68,2923.57,110306,2640.4
06Q,1695.22,1638.73,1753.16,189312,3433.2
06T,2386.37,2313.31,2461.13,161026,4125.9
06V,2356.61,2252.77,2463.76,82093,2218.2
06W,1963.3,1876.14,2053.46,103246,1914.1
06Y,1784.57,1711.05,1860.39,110739,2299.8
07G,2517.33,2403.2,2635.46,80142,1846.2
07H,2068.67,1994.67,2144.7,144934,2978
07J,2411.68,2314.61,2511.72,80887,2414.9
07K,1585.95,1517.98,1656.16,117533,2086.2
07L,2423.98,2309.66,2542.3,102443,1845.8
07M,1949.13,1880.98,2019.1,182867,3152.7
07N,2107.5,2021.8,2195.89,109628,2286.2
07P,1992.92,1917.16,2070.82,172173,2819
07Q,1955.91,1888.18,2025.44,160601,3170.7
07R,2470.46,2362.69,2581.72,117995,2144.4
07T,2720.57,2615.71,2828.23,147468,3129.2
07V,2403.56,2329.59,2479.26,188221,4099.3
07W,2299.38,2224.15,2376.45,203838,3736.6
07X,2232.22,2149.33,2317.46,140452,2794.1
07Y,2285.15,2196.75,2376.13,143087,2653.8
08A,2295.69,2204.97,2389.08,138217,2599.5
08C,2552.09,2429.2,2679.42,94717,1734
08D,2272.04,2180.22,2366.64,136595,2457.3
08E,2399.45,2307.74,2493.85,118668,2609.8
08F,2049.28,1970.99,2129.88,126336,2591.2
08G,2220.58,2139.35,2304.08,142029,2892
08H,2508.16,2395.04,2625.11,108779,1974.1
08J,1638.99,1549.67,1732.08,94131,1280.9
08K,2052.89,1972.73,2135.27,197006,2954.4
08L,2321,2231.41,2413.11,154044,2837.2
08M,2365.66,2272.55,2461.32,200998,2994
08N,2108.27,2025.08,2193.96,146019,2498
08P,1313.43,1239.59,1390.46,98905,1225.7
08Q,2615.32,2514.16,2719.23,170687,3054.4
08R,2069.38,1974,2168.11,108357,1836.4
08T,1688.01,1599.97,1779.6,91443,1399.7
08V,3137.43,3001.24,3277.66,148303,2559.5
08W,2228.19,2142.7,2316.09,152021,2829.5
08X,1899.4,1819.25,1982.05,173374,2314.5
08Y,2144.44,2050.17,2241.86,112207,2029.5
09A,1788.3,1689.75,1890.96,100035,1312.3
09C,2077.96,1967.09,2193.44,61261,1319.4
09D,2008.56,1931.78,2087.56,148898,2691.3
09E,1823.1,1743.53,1905.35,103883,2000.3
09F,1871.69,1786.8,1959.52,89743,1890.5
09G,1985.77,1932.92,2039.68,237750,5481.4
09H,1947.35,1832.29,2067.65,63936,1103.4
09J,2112.18,2031.44,2195.3,123291,2588.4
09L,1797.31,1707.69,1890.4,83899,1515.6
09N,1679.9,1602.5,1760.06,105409,1777.5
09P,2663.15,2561.38,2767.87,90016,2672.9
09W,2544.72,2461.77,2629.75,139034,3566.8
09X,1425.55,1358.82,1494.7,111359,1720
09Y,1794.81,1732.42,1858.86,173871,3150.6
10A,2482.83,2390.47,2577.81,99170,2792.7
