ccgcode,Asthma,Atrial Fibrillation,Cancer,CHD Prevention,Chronic Kidney Disease,Chronic Obstructive Pulmonary Disease,Coronary Heart Disease,Dementia,Depression ever,Depression Incidence,Depression Screening ,Diabetes,Epilepsy,Heart Failure,Hypertension,Hypothyroidism,Learning Disabilities,Mental Health,Obesity,Smoking,Stroke and Transient Ischaemic Attacks
00C,0.0589,0.0168,0.017,0.0149,0.0351,0.024,0.0411,0.0075,0.1057,0.0085,0.0829,0.0516,0.0078,0.0083,0.1434,0.0322,0.0051,0.0093,0.1168,0.1893,0.0203
00D,0.0647,0.0172,0.0194,0.0208,0.0377,0.0294,0.0533,0.0065,0.1309,0.0097,0.0952,0.0549,0.0082,0.0096,0.1646,0.038,0.0054,0.0087,0.1246,0.2094,0.0232
00F,0.0662,0.0161,0.0195,0.0192,0.0418,0.0256,0.0441,0.0069,0.1496,0.0065,0.0834,0.0498,0.0072,0.0067,0.1599,0.0374,0.0039,0.0093,0.1164,0.2096,0.0216
00G,0.0561,0.0114,0.0159,0.012,0.0461,0.0176,0.031,0.0048,0.0996,0.0074,0.0596,0.0358,0.0064,0.0063,0.1148,0.0275,0.0056,0.0097,0.0849,0.21,0.0169
00H,0.0624,0.0139,0.0167,0.0137,0.0562,0.0248,0.0403,0.0061,0.1048,0.0068,0.08,0.0505,0.0076,0.0082,0.1401,0.0332,0.0066,0.0093,0.1097,0.2404,0.0226
00J,0.0646,0.0154,0.0183,0.016,0.0376,0.023,0.0466,0.0058,0.1051,0.0095,0.0861,0.0514,0.0066,0.0077,0.1533,0.0345,0.0036,0.0077,0.1089,0.1814,0.0219
00K,0.063,0.0172,0.0164,0.0169,0.0345,0.0242,0.0429,0.0053,0.118,0.0089,0.0777,0.044,0.0075,0.0082,0.149,0.037,0.0037,0.0074,0.1068,0.205,0.0198
00L,0.0682,0.0192,0.0228,0.0202,0.0521,0.0241,0.05,0.0063,0.1271,0.0079,0.0928,0.0543,0.0073,0.0093,0.1698,0.0372,0.0052,0.008,0.1139,0.1651,0.0247
00M,0.0594,0.0151,0.0175,0.0171,0.0339,0.0262,0.0442,0.0058,0.1147,0.0088,0.0813,0.0474,0.0082,0.0085,0.1472,0.0462,0.0047,0.0085,0.1061,0.2179,0.0205
00N,0.0585,0.0178,0.0207,0.0199,0.0179,0.0346,0.0488,0.0081,0.1433,0.0075,0.0916,0.0551,0.0075,0.0116,0.1608,0.0481,0.0042,0.0082,0.1274,0.2202,0.0232
00P,0.0603,0.0168,0.019,0.0211,0.0312,0.0307,0.0512,0.0058,0.1626,0.0063,0.0888,0.0496,0.0079,0.0098,0.1652,0.0438,0.0047,0.0078,0.1179,0.2176,0.0224
00Q,0.0711,0.0117,0.0145,0.0154,0.0282,0.0212,0.0395,0.0046,0.1051,0.0085,0.0802,0.0524,0.0063,0.0081,0.122,0.0266,0.0038,0.0109,0.0907,0.2261,0.0169
00R,0.0704,0.0173,0.0214,0.0206,0.0779,0.0296,0.048,0.0065,0.1506,0.0114,0.0899,0.0542,0.0089,0.0113,0.1585,0.0309,0.0045,0.0127,0.1157,0.2518,0.022
00T,0.0645,0.0131,0.0158,0.0158,0.0445,0.0212,0.0354,0.0055,0.089,0.0102,0.0811,0.0563,0.0067,0.0073,0.1401,0.0328,0.0032,0.0082,0.0956,0.2003,0.0172
00V,0.0639,0.0138,0.0168,0.0148,0.0354,0.0189,0.0372,0.0053,0.0768,0.0058,0.073,0.0448,0.0069,0.0066,0.1351,0.0303,0.004,0.0093,0.0901,0.1832,0.0188
00W,0.0541,0.0069,0.0093,0.0135,0.015,0.0131,0.0211,0.0025,0.0793,0.0068,0.0565,0.0424,0.0049,0.0042,0.0868,0.0157,0.0029,0.0109,0.0698,0.2561,0.0095
00X,0.0639,0.0155,0.0196,0.0183,0.0403,0.0201,0.0422,0.0055,0.1099,0.0084,0.0818,0.0502,0.0069,0.009,0.1437,0.0381,0.0042,0.0071,0.0939,0.1794,0.0187
00Y,0.0625,0.0109,0.0158,0.0187,0.0284,0.0218,0.0342,0.0055,0.0948,0.0066,0.0742,0.0488,0.0075,0.0072,0.1331,0.0282,0.0036,0.0083,0.0869,0.223,0.0171
01A,0.0692,0.0135,0.0187,0.0171,0.0281,0.023,0.042,0.0056,0.1073,0.0062,0.0807,0.049,0.007,0.0085,0.1367,0.0294,0.0039,0.0095,0.1026,0.2209,0.0194
01C,0.0596,0.0206,0.0201,0.0181,0.0359,0.0156,0.0367,0.0072,0.1225,0.0054,0.0747,0.0462,0.006,0.0081,0.1466,0.0304,0.0028,0.0075,0.0699,0.1329,0.0215
